"ID","Fecha registro","Estado","Municipio","Fecha hechos","Lugar hechos","Modalidad violencia","Conoce agresor","Hubo drogas","Hubo armas","Violencia Física","Violencia Psicológica","Violencia Sexual","Violencia Patrimonial","Violencia Económica","Violencia Otra"
"1420345","2023-01-04","Jalisco","Tlajomulco de Zúñiga","2023-01-01","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","1","0","0","0","0","0"
"1420362","2023-01-30","Jalisco","Guadalajara","2023-01-20","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1420498","2023-03-20","Jalisco","Tala","2022-07-24","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","1","0","0","0","0","0"
"1420536","2023-01-11","Jalisco","Tlajomulco de Zúñiga","2022-12-29","Espacio particular","1 - Familiar","SI","SI","SI","0","1","0","0","0","0"
"1420632","2023-03-01","Jalisco","Sayula","2022-10-17","Espacio particular","4 - En la comunidad","NO","NO","NO","0","0","1","0","0","0"
"1420635","2023-01-20","Jalisco","Guadalajara","2022-12-12","Espacio particular","1 - Familiar","SI","SI","SI","0","1","1","0","1","0"
"1420653","2023-02-24","Jalisco","Guadalajara","2023-02-21","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1420687","2023-02-01","Jalisco","Zapopan","2022-12-02","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","0","1","0","0","1","0"
"1420688","2023-03-01","Jalisco","Zapotlán el Grande","2022-12-08","Espacio particular","1 - Familiar","SI","NO","NO","0","1","0","0","1","0"
"1420721","2023-03-06","Jalisco","Guadalajara","2023-03-02","Espacio particular","1 - Familiar","SI","NO","Desconocido","0","1","0","0","0","0"
"1420740","2023-01-18","Jalisco","Zapopan","2022-12-26","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1420757","2023-03-09","Jalisco","Zapopan","2023-03-06","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1420764","2023-03-13","Jalisco","Tlajomulco de Zúñiga","2023-03-08","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","1","0","0","0","0","0"
"1420854","2023-01-19","Jalisco","Zapopan","2023-01-07","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1420906","2023-01-23","Jalisco","Tonalá","2022-12-25","Espacio particular","1 - Familiar","SI","NO","Desconocido","0","1","0","0","0","0"
"1420968","2023-03-20","Jalisco","Guadalajara","2023-03-17","Espacio particular","1 - Familiar","SI","NO","NO","0","1","0","0","0","0"
"1421006","2023-01-16","Jalisco","Guadalajara","2022-11-24","Espacio particular","1 - Familiar","NO","SI","NO","1","1","0","1","0","1"
"1421101","2023-03-28","Jalisco","Puerto Vallarta","2023-03-27","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1421138","2023-03-08","Jalisco","Guadalajara","2023-03-07","Espacio particular","1 - Familiar","NO","NO","NO","0","1","0","0","0","0"
"1421172","2023-01-04","Jalisco","Zapopan","2022-04-10","Espacio particular","1 - Familiar","NO","NO","Desconocido","0","0","0","1","0","0"
"1421208","2023-01-17","Jalisco","San Pedro Tlaquepaque","2023-01-02","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","0","1","0","0","0","0"
"1421248","2023-01-11","Jalisco","Guadalajara","2022-08-20","Espacio particular","1 - Familiar","NO","NO","NO","0","1","0","0","0","0"
"1421287","2023-02-28","Jalisco","Tlajomulco de Zúñiga","2023-02-25","Espacio particular","1 - Familiar","NO","Desconocido","Desconocido","1","0","0","0","0","0"
"1421300","2023-03-15","Jalisco","Acatlán de Juárez","2023-02-20","Espacio particular","1 - Familiar","SI","NO","NO","0","1","0","0","0","0"
"1421310","2023-02-28","Jalisco","Guadalajara","2023-02-26","Espacio particular","1 - Familiar","SI","Desconocido","Desconocido","1","1","0","0","0","0"
"1421382","2023-03-30","Jalisco","Puerto Vallarta","2023-03-24","Espacio particular","4 - En la comunidad","NO","Desconocido","Desconocido","0","1","0","0","0","0"
