ID,Fecha registro,Estado,Municipio,Fecha hechos,Lugar hechos,Modalidad violencia,Conoce agresor,Hubo drogas,Hubo armas,Violencia Física,Violencia Psicológica,Violencia Sexual,Violencia Patrimonial,Violencia Económica,Violencia Otra
1463158,14/03/2023,Colima,Ciudad de Villa de ílvarez,08/03/2023,Espacio particular,1 - Familiar,SI,NO,SI,0,1,0,0,0,0
1463161,14/03/2023,Colima,Ciudad de Villa de ílvarez,30/09/2022,Espacio particular,1 - Familiar,SI,SI,Desconocido,1,1,0,0,0,0
1463244,09/03/2023,Colima,Ciudad de Villa de ílvarez,13/11/2022,Espacio público,1 - Familiar,SI,Desconocido,Desconocido,1,1,1,1,1,0
1463926,09/03/2023,Colima,Colima,09/03/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1463937,03/03/2023,Colima,Manzanillo,01/03/2023,Espacio particular,1 - Familiar,NO,NO,NO,1,1,0,0,0,0
1464423,02/02/2023,Colima,Cuauhtémoc,26/01/2023,Espacio particular,1 - Familiar,SI,SI,Desconocido,1,1,0,0,0,0
1464875,30/01/2023,Colima,Manzanillo,12/12/2022,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,0,0,0,0
1465062,07/03/2023,Colima,Colima,02/03/2023,Espacio particular,1 - Familiar,SI,NO,Desconocido,1,1,1,1,1,0
1465296,10/01/2023,Colima,Manzanillo,01/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,SI,1,1,0,1,0,0
1465354,22/03/2023,Colima,Manzanillo,15/03/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1466295,17/03/2023,Colima,Manzanillo,16/03/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1466544,23/01/2023,Colima,Colima,18/01/2023,Espacio particular,1 - Familiar,SI,NO,NO,0,1,0,0,0,0
1467243,07/02/2023,Colima,Tecomán,22/02/2020,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1467358,02/01/2023,Colima,Colima,31/12/2022,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1467913,23/03/2023,Colima,Colima,14/03/2023,Espacio particular,1 - Familiar,NO,NO,NO,0,1,0,0,0,0
1468031,30/03/2023,Colima,Colima,12/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,NO,0,1,0,0,1,0
1468236,21/02/2023,Colima,Ciudad de Villa de ílvarez,20/02/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1468424,27/02/2023,Colima,Ciudad de Villa de ílvarez,13/02/2023,Espacio particular,1 - Familiar,SI,NO,NO,1,0,0,0,0,0
1468502,15/03/2023,Colima,Colima,13/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1468709,13/02/2023,Colima,Tecomán,03/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1469300,31/01/2023,Colima,Ciudad de Villa de ílvarez,25/12/2022,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1469656,22/01/2023,Colima,Colima,22/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1469901,06/03/2023,Colima,Ciudad de Villa de ílvarez,11/11/2022,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1470320,28/02/2023,Colima,Ciudad de Armerí­a,14/02/2023,Espacio particular,1 - Familiar,SI,NO,SI,0,1,1,0,1,0
1471354,13/02/2023,Colima,Tecomán,09/02/2023,Espacio público,4 - En la comunidad,NO,Desconocido,Desconocido,0,0,1,0,0,0
1471738,31/03/2023,Colima,Manzanillo,25/03/2023,Espacio particular,1 - Familiar,NO,NO,NO,1,0,0,0,0,0
1471945,30/03/2023,Colima,Cuauhtémoc,04/12/2022,Espacio público,3 - Institucional,NO,Desconocido,Desconocido,0,0,0,0,1,0
1472055,11/02/2023,Colima,Coquimatlán,14/01/2023,Espacio público,1 - Familiar,SI,Desconocido,Desconocido,1,1,0,1,1,0
1472720,21/03/2023,Colima,Colima,08/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,0,0,0,1,0
1473392,31/01/2023,Colima,Ciudad de Villa de ílvarez,15/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1473660,05/01/2023,Colima,Manzanillo,01/01/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1473880,23/03/2023,Colima,Colima,27/02/2023,Espacio particular,1 - Familiar,NO,SI,Desconocido,0,1,0,0,0,0
1475783,27/03/2023,Colima,Colima,23/03/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,0,0
1476056,10/03/2023,Colima,Ciudad de Villa de ílvarez,27/02/2023,Espacio particular,1 - Familiar,SI,SI,Desconocido,0,1,0,1,1,0
1476289,07/02/2023,Colima,Tecomán,27/01/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,0,1,0,0,0
1476449,01/02/2023,Colima,Manzanillo,10/05/2022,Espacio particular,1 - Familiar,SI,SI,NO,1,1,0,1,1,0
1476599,17/03/2023,Colima,Cuauhtémoc,16/03/2023,Espacio particular,1 - Familiar,SI,NO,NO,1,1,1,1,0,0
1477120,17/03/2023,Colima,Colima,23/02/2023,Espacio particular,1 - Familiar,SI,SI,NO,0,1,0,0,0,1
1477786,09/01/2023,Colima,Ciudad de Villa de ílvarez,04/12/2022,Espacio particular,1 - Familiar,NO,SI,NO,1,1,0,0,0,0
1477800,27/01/2023,Colima,Tecomán,18/01/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1478182,13/01/2023,Colima,Colima,10/01/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1479017,16/03/2023,Colima,Ciudad de Villa de ílvarez,03/11/2022,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,0,1,0,0,0,0
1479155,28/02/2023,Colima,Manzanillo,26/02/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,1,1,1,1,0
1479250,05/01/2023,Colima,Colima,31/12/2022,Espacio particular,1 - Familiar,NO,Desconocido,SI,0,1,0,0,0,0
1479287,10/01/2023,Colima,Tecomán,27/12/2022,Espacio particular,1 - Familiar,SI,NO,NO,0,1,0,0,0,0
1480590,21/03/2023,Colima,Cuauhtémoc,10/03/2023,Espacio particular,1 - Familiar,SI,NO,NO,0,1,0,0,0,0
1480729,17/01/2023,Colima,Cuauhtémoc,17/01/2023,Espacio particular,1 - Familiar,SI,SI,Desconocido,0,1,0,0,1,0
1481282,29/03/2023,Colima,Cuauhtémoc,18/01/2023,Espacio particular,1 - Familiar,SI,SI,Desconocido,0,1,0,0,0,0
1481738,30/01/2023,Colima,Manzanillo,29/01/2023,Espacio público,1 - Familiar,NO,Desconocido,Desconocido,1,0,0,0,0,0
1481933,30/03/2023,Colima,Ciudad de Villa de ílvarez,05/08/2022,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1482343,27/01/2023,Colima,Tecomán,13/01/2023,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,1,0,0,0,0,0
1482912,27/01/2023,Colima,Manzanillo,19/01/2023,Espacio particular,1 - Familiar,NO,Desconocido,Desconocido,1,1,0,0,0,0
1483008,01/02/2023,Colima,Ciudad de Villa de ílvarez,07/11/2022,Espacio particular,1 - Familiar,SI,NO,NO,0,1,0,0,0,0
1483634,11/01/2023,Colima,Manzanillo,07/12/2022,Espacio particular,1 - Familiar,SI,Desconocido,Desconocido,0,1,0,0,1,0
1483644,03/03/2023,Colima,Ciudad de Armerí­a,25/02/2023,Espacio particular,1 - Familiar,SI,NO,Desconocido,0,1,0,0,0,0
